SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat
262809363,01/31/2023,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BRONX,44,1006490,244533,40.83784212093,-73.91962775174,POINT (-73.9196277517392 40.8378421209284)
296675341,11/18/2024,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BROOKLYN,94,1001547,203048,40.72397961334,-73.93759674848,POINT (-73.93759674847603 40.72397961334044)
275175150,09/29/2023,OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,240.20(5),(null),(null),25-44,M,BLACK,0,BRONX,47,1025582,266579,40.89827458198,-73.85049340311,POINT (-73.85049340310998 40.89827458198398)
287672071,05/30/2024,SMOKING IN TRAIN STATION,1050.7,(null),(null),25-44,M,BLACK,1,MANHATTAN,13,987034,206937,40.73468122,-73.98995272,POINT (-73.98995272 40.73468122)
264445601,03/02/2023,UNREGISTERED VEHICLE,401,VTL,VTL,25-44,M,BLACK HISPANIC,0,MANHATTAN,33,1002184,247084,40.84484537,-73.93518105,POINT (-73.93518105 40.84484537)
276200043,10/19/2023,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),45-64,M,WHITE HISPANIC,0,BRONX,41,1015223,238229,40.82050486349,-73.88809505653,POINT (-73.88809505653042 40.82050486349213)
274744251,09/19/2023,OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,240.20(5),(null),(null),25-44,F,AMERICAN INDIAN/ALASKAN NATIVE,0,MANHATTAN,14,988718,214409,40.755179,-73.983871,POINT (-73.983871 40.755179)
265655109,03/25/2023,OTHER PENAL LAW,9999,Penal Law,OTHER PENAL LAW,65+,M,BLACK,0,BROOKLYN,70,995602,174469,40.645548,-73.95909,POINT (-73.95909 40.645548)
254472548,11/21/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,UNKNOWN,0,BROOKLYN,79,999649,189272,40.68617125,-73.94447575,POINT (-73.94447575 40.68617125)
274516953,09/16/2023,OTHER ABC,9999,ABC,OTHER ABC,25-44,M,BLACK HISPANIC,0,BRONX,44,1005701,245266,40.839849,-73.922473,POINT (-73.922473 40.839849)
251873240,09/30/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,WHITE,0,BROOKLYN,90,993873,200125,40.71597,-73.965286,POINT (-73.965286 40.71597)
241821224,03/09/2022,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BROOKLYN,61,994854,160187,40.606347,-73.961809,POINT (-73.961809 40.606347)
288708440,06/18/2024,UNREGISTERED VEHICLE,401,VTL,VTL,18-24,M,WHITE HISPANIC,0,BROOKLYN,78,991752,187168,40.680408,-73.972949,POINT (-73.972949 40.680408)
289616330,07/05/2024,KNIVES; PUBLIC POSSESSION (BLADE 4 INCHES OR MORE),10-133(B),(null),(null),<18,M,BLACK,0,BRONX,49,1021690,252174,40.858757,-73.864651,POINT (-73.864651 40.858757)
249185592,08/07/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,WHITE HISPANIC,0,BROOKLYN,60,994069,150938,40.58096052,-73.96465136,POINT (-73.96465136 40.58096052)
